LEXENTRY:	CALÇADINHA DE	CALÇADINHA DE	TYPE	DET_PRE
LEXENTRY:	CALÇADINHA DO	CALÇADINHA DO	TYPE	DET_PRE
LEXENTRY:	CAMINHO	CAMINHO	TYPE	DET_PRE
LEXENTRY:	CAMINHO DA	CAMINHO DA	TYPE	DET_PRE
LEXENTRY:	CAMINHO DAS	CAMINHO DAS	TYPE	DET_PRE
LEXENTRY:	CAMINHO DE	CAMINHO DE	TYPE	DET_PRE
LEXENTRY:	CAMINHO DO	CAMINHO DO	TYPE	DET_PRE
LEXENTRY:	CAMINHO DOS	CAMINHO DOS	TYPE	DET_PRE
LEXENTRY:	CAMPO	CAMPO	TYPE	DET_PRE
LEXENTRY:	CAMPO DAS	CAMPO DAS	TYPE	DET_PRE
LEXENTRY:	CAMPO DE	CAMPO DE	TYPE	DET_PRE
LEXENTRY:	CAMPO DOS	CAMPO DOS	TYPE	DET_PRE
LEXENTRY:	CARREIRO DA	CARREIRO DA	TYPE	DET_PRE
LEXENTRY:	CASE POSTALE	CASE POSTALE	BOXH	DETACH
LEXENTRY:	CASTELO BRANCO	CASTELO BRANCO	PROV	DETACH
LEXENTRY:	CC	CALÇADA	TYPE	DET_PRE
LEXENTRY:	CC DA	CALÇADA DA	TYPE	DET_PRE
LEXENTRY:	CC DAS	CALÇADA DAS	TYPE	DET_PRE
LEXENTRY:	CC DE	CALÇADA DE	TYPE	DET_PRE
LEXENTRY:	CC DO	CALÇADA DO	TYPE	DET_PRE
LEXENTRY:	CC DOS	CALÇADA DOS	TYPE	DET_PRE
LEXENTRY:	CC.	CALÇADA	TYPE	DET_PRE
LEXENTRY:	CC. DA	CALÇADA DA	TYPE	DET_PRE
LEXENTRY:	CC. DAS	CALÇADA DAS	TYPE	DET_PRE
LEXENTRY:	CC. DE	CALÇADA DE	TYPE	DET_PRE
LEXENTRY:	CC. DO	CALÇADA DO	TYPE	DET_PRE
LEXENTRY:	CC. DOS	CALÇADA DOS	TYPE	DET_PRE
LEXENTRY:	COIMBRA	COIMBRA	PROV	DETACH
LEXENTRY:	COSTA DO	COSTA DO	TYPE	DET_PRE
LEXENTRY:	D.	DOM	WORD	DETACH
LEXENTRY:	DOM	DOM	WORD	DETACH
LEXENTRY:	ENG.	ENGENHEIRO	WORD	DETACH
LEXENTRY:	ENGENHEIRO	ENGENHEIRO	WORD	DETACH
LEXENTRY:	ENGº	ENGENHEIRO	WORD	DETACH
LEXENTRY:	ESCADAS	ESCADAS	TYPE	DET_PRE
LEXENTRY:	ESCADAS DA	ESCADAS DA	TYPE	DET_PRE
LEXENTRY:	ESCADAS DAS	ESCADAS DAS	TYPE	DET_PRE
LEXENTRY:	ESCADAS DE	ESCADAS DE	TYPE	DET_PRE
LEXENTRY:	ESCADAS DO	ESCADAS DO	TYPE	DET_PRE
LEXENTRY:	ESCADAS DOS	ESCADAS DOS	TYPE	DET_PRE
LEXENTRY:	ESCADINHAS	ESCADINHAS	TYPE	DET_PRE
LEXENTRY:	ESCADINHAS DA	ESCADINHAS DA	TYPE	DET_PRE
LEXENTRY:	ESCADINHAS DAS	ESCADINHAS DAS	TYPE	DET_PRE
LEXENTRY:	ESCADINHAS DE	ESCADINHAS DE	TYPE	DET_PRE
LEXENTRY:	ESCADINHAS DO	ESCADINHAS DO	TYPE	DET_PRE
LEXENTRY:	ESCADINHAS DOS	ESCADINHAS DOS	TYPE	DET_PRE
LEXENTRY:	ESPLANADA	ESPLANADA	TYPE	DET_PRE
LEXENTRY:	ESPLANADA DO	ESPLANADA DO	TYPE	DET_PRE
LEXENTRY:	EST	ESTRADA	TYPE	DET_PRE
LEXENTRY:	EST DA	ESTRADA DA	TYPE	DET_PRE
LEXENTRY:	EST DAS	ESTRADA DAS	TYPE	DET_PRE
LEXENTRY:	EST DE	ESTRADA DE	TYPE	DET_PRE
LEXENTRY:	EST DO	ESTRADA DO	TYPE	DET_PRE
LEXENTRY:	EST DOS	ESTRADA DOS	TYPE	DET_PRE
LEXENTRY:	EST.	ESTRADA	TYPE	DET_PRE
LEXENTRY:	EST. DA	ESTRADA DA	TYPE	DET_PRE
LEXENTRY:	EST. DAS	ESTRADA DAS	TYPE	DET_PRE
LEXENTRY:	EST. DE	ESTRADA DE	TYPE	DET_PRE
LEXENTRY:	EST. DO	ESTRADA DO	TYPE	DET_PRE
LEXENTRY:	EST. DOS	ESTRADA DOS	TYPE	DET_PRE
