LEXENTRY:	STRÆDE	STRÆDE	TYPE	SUFFIX,DETACH
LEXENTRY:	SVINGET	SVINGET	TYPE	DETACH,SUFFIX
LEXENTRY:	TOFTEN	TOFTEN	TYPE	SUFFIX,DETACH
LEXENTRY:	TOPPEN	TOPPEN	TYPE	DETACH,SUFFIX
LEXENTRY:	TORV	TORV	TYPE	SUFFIX,DETACH
LEXENTRY:	TORVET	TORVET	TYPE	DETACH,SUFFIX
LEXENTRY:	VANG	VANG	TYPE	DETACH,SUFFIX
LEXENTRY:	VANGEN	VANGEN	TYPE	DETACH,SUFFIX
LEXENTRY:	VED	VED	TYPE	DETACH
LEXENTRY:	VEJ	VEJ	TYPE	SUFFIX,DETACH
LEXENTRY:	VOLDEN	VOLDEN	TYPE	DETACH,SUFFIX
LEXENTRY:	VÆNGE	VÆNGE	TYPE	DETACH
LEXENTRY:	VÆNGET	VÆNGET	TYPE	DETACH,SUFFIX
LEXENTRY:	ÅSEN	ÅSEN	TYPE	DETACH,SUFFIX
