LEXICON:	lex-greatbritain.txt	ENG	en_UK
LEXENTRY:	VIEW	VIEW	TYPE	DETACH
LEXENTRY:	VILLA	VLLA	UNITH	DETACH
LEXENTRY:	VILLAS	VILLAS	TYPE	DETACH
LEXENTRY:	VLLA	VLLA	UNITH	DETACH
LEXENTRY:	W	W	DIRECT	DETACH
LEXENTRY:	W GLAM	WEST GLAMORGAN	PROV	DETACH
LEXENTRY:	W ISLS	WESTERN ISLES	PROV	DETACH
LEXENTRY:	W MIDLANDS	WEST MIDLANDS	PROV	DETACH
LEXENTRY:	W MIDS	WEST MIDLANDS	PROV	DETACH
LEXENTRY:	W SUSSEX	WEST SUSSEX	PROV	DETACH
LEXENTRY:	W SUSX	WEST SUSSEX	PROV	DETACH
LEXENTRY:	W YORK	WEST YORKSHIRE	PROV	DETACH
LEXENTRY:	W YORKSHIRE	WEST YORKSHIRE	PROV	DETACH
LEXENTRY:	WALES	UNITED KINDOM OF GREAT BRITAIN	NATION	DETACH
LEXENTRY:	WALK	WALK	TYPE	DETACH
LEXENTRY:	WALL	WALL	TYPE	DETACH
LEXENTRY:	WAR	WARWICKSHIRE	PROV	DETACH
LEXENTRY:	WAREHOUSE	WE	UNITH	DETACH
LEXENTRY:	WARKS	WARWICKSHIRE	PROV	DETACH
LEXENTRY:	WARWICKSHIRE	WARWICKSHIRE	PROV	DETACH
LEXENTRY:	WARWKS	WARWICKSHIRE	PROV	DETACH
LEXENTRY:	WAY	WAY	TYPE	DETACH
LEXENTRY:	WE	WE	UNITH	DETACH
LEXENTRY:	WES	WESTMORLAND	PROV	DETACH
LEXENTRY:	WEST	W	DIRECT	DETACH
LEXENTRY:	WEST GLAMORGAN	WEST GLAMORGAN	PROV	DETACH
LEXENTRY:	WEST LOTHIAN	WEST LOTHIAN	PROV	DETACH
LEXENTRY:	WEST MIDLANDS	WEST MIDLANDS	PROV	DETACH
LEXENTRY:	WEST RIDING OF YORKSHIRE	WEST RIDING OF YORKSHIRE	PROV	DETACH
LEXENTRY:	WEST SUSSEX	WEST SUSSEX	PROV	DETACH
LEXENTRY:	WEST YORKSHIRE	WEST YORKSHIRE	PROV	DETACH
LEXENTRY:	WESTERN ISLES	WESTERN ISLES	PROV	DETACH
LEXENTRY:	WESTMORLAND	WESTMORLAND	PROV	DETACH
LEXENTRY:	WGM	WEST GLAMORGAN	PROV	DETACH
LEXENTRY:	WHARF	WHARF	TYPE	DETACH
LEXENTRY:	WIG	WIGTOWNSHIRE	PROV	DETACH
LEXENTRY:	WIGTOWNSHIRE	WIGTOWNSHIRE	PROV	DETACH
LEXENTRY:	WIL	WILTSHIRE	PROV	DETACH
LEXENTRY:	WILTS	WILTSHIRE	PROV	DETACH
LEXENTRY:	WILTSHIRE	WILTSHIRE	PROV	DETACH
LEXENTRY:	WIS	WESTERN ISLES	PROV	DETACH
LEXENTRY:	WLN	WEST LOTHIAN	PROV	DETACH
LEXENTRY:	WMD	WEST MIDLANDS	PROV	DETACH
LEXENTRY:	WOR	WORCESTERSHIRE	PROV	DETACH
LEXENTRY:	WORCESTERSHIRE	WORCESTERSHIRE	PROV	DETACH
LEXENTRY:	WORCS	WORCESTERSHIRE	PROV	DETACH
LEXENTRY:	WRY	WEST RIDING OF YORKSHIRE	PROV	DETACH
LEXENTRY:	WYK	WEST YORKSHIRE	PROV	DETACH
LEXENTRY:	YARD	YARD	TYPE	DETACH
LEXENTRY:	YKS	YORKSHIRE	PROV	DETACH
LEXENTRY:	YORKSHIRE	YORKSHIRE	PROV	DETACH
