LEXICON:	pagc-converted	USA	en_US	
LEXENTRY:	CO RD	COUNTY ROAD	ROAD,TYPE	
LEXENTRY:	CO ROAD	COUNTY ROAD	ROAD,TYPE	
LEXENTRY:	CO ROUTE	COUNTY ROUTE	ROAD	
LEXENTRY:	CO RT	COUNTY ROUTE	ROAD	
LEXENTRY:	CO RTE	COUNTY ROUTE	ROAD	
LEXENTRY:	COEUR D ALENE	COEUR D ALENE	CITY	
LEXENTRY:	COEUR D'ALENE	COEUR D ALENE	CITY	
LEXENTRY:	COHWY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	COL	COLONEL	WORD	
LEXENTRY:	COLL	COLLEGE	BUILDT,WORD	
LEXENTRY:	COLLECTION	COLLECTION	BUILDT	
LEXENTRY:	COLLEGE	COLLEGE	BUILDT,BUILDH,WORD	
LEXENTRY:	COLOMBIE BRITANNIQUE	BRITISH COLUMBIA	PROV,WORD	
LEXENTRY:	COLONEL	COLONEL	WORD	
LEXENTRY:	COLONIA	COLONIA	TYPE,WORD	
LEXENTRY:	COLORADO	COLORADO	PROV,WORD	
LEXENTRY:	COMMERCIAL DEALERSHIP OU	COMMERCIAL DEALERSHIP	BUILDT	
LEXENTRY:	COMMON	COMMON	TYPE	
LEXENTRY:	COMMON	COMMONS	BUILDT	
LEXENTRY:	COMMONS	COMMONS	TYPE,BUILDT	
LEXENTRY:	COMMUNITY MAIL CENTRE	COMMUNITY MAIL CENTRE	BUILDT	
LEXENTRY:	COMN	COMMON	TYPE	
LEXENTRY:	COMN	COMMONS	BUILDT	
LEXENTRY:	COMP	COMPLEX	BUILDT	
LEXENTRY:	COMPLEX	COMPLEX	BUILDT	
LEXENTRY:	CONC	CONCESSION	TYPE,WORD	
LEXENTRY:	CONCESSION	CONCESSION	TYPE,WORD	
LEXENTRY:	COND	CONDOMINIUMS	BUILDT	
LEXENTRY:	CONDO	CONDOMINIUMS	BUILDT	
LEXENTRY:	CONDOMINIO	CONDOMINIUMS	BUILDT	
LEXENTRY:	CONDOMINIUM	CONDOMINIUMS	BUILDT	
LEXENTRY:	CONDOMINIUMS	CONDOMINIUMS	BUILDT	
LEXENTRY:	CONDOS	CONDOMINIUMS	BUILDT	
LEXENTRY:	CONN	CONNECTICUT	PROV,WORD,ROAD	
LEXENTRY:	CONN	CONNECTOR	TYPE,QUALIF	
LEXENTRY:	CONNECTICUT	CONNECTICUT	PROV,WORD	
LEXENTRY:	CONNECTION	CONNECTION	BUILDT	
LEXENTRY:	CONNECTOR	CONNECTOR	TYPE,QUALIF,WORD	
LEXENTRY:	CONTRACT	CONTRACT	WORD	
LEXENTRY:	CONTRACT	HIGHWAY CONTRACT ROUTE	RR	
LEXENTRY:	COOP	COOPERATIVE	BUILDT,WORD	
LEXENTRY:	COOPERATIVE	COOPERATIVE	BUILDT,WORD	
LEXENTRY:	COR	CORNER	WORD	
LEXENTRY:	COR	CORNERS	BUILDT	
LEXENTRY:	CORD	COUNTY ROAD	TYPE	
LEXENTRY:	CORD	COUNTY ROUTE	ROAD	
LEXENTRY:	CORNER	CORNER	BUILDT,WORD,TYPE	
LEXENTRY:	CORNERS	CORNERS	TYPE,BUILDT,WORD	
LEXENTRY:	CORNWALL ON HUDSON	CORNWALL ON HUDSON	CITY	
LEXENTRY:	CORS	CORNERS	TYPE,BUILDT,WORD	
LEXENTRY:	CORSO	CORSO	TYPE,WORD	
LEXENTRY:	CORT	COUNTY ROUTE	ROAD	
LEXENTRY:	CORTE	COUNTY ROUTE	ROAD	
LEXENTRY:	CORTE	COURT	TYPE	
LEXENTRY:	COTE	COTE	TYPE,WORD	
LEXENTRY:	COTTAGE	COTTAGE	BUILDT,BUILDH,WORD	
LEXENTRY:	COUNTY	COUNTY	WORD	
LEXENTRY:	COUNTY	COUNY ROAD	ROAD	
LEXENTRY:	COUNTY HIGHWAY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	COUNTY HIWAY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	COUNTY HWY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	COUNTY RD	COUNTY ROAD	ROAD,TYPE	
LEXENTRY:	COUNTY ROAD	COUNTY ROAD	ROAD,TYPE	
LEXENTRY:	COUNTY ROUTE	COUNTY ROUTE	ROAD	
LEXENTRY:	COUNTY RT	COUNTY ROUTE	ROAD	
LEXENTRY:	COUNTY RTE	COUNTY ROUTE	ROAD	
LEXENTRY:	COUNTY TRUNK	COUNTY ROAD	ROAD	
LEXENTRY:	COUR	COUR	TYPE	
LEXENTRY:	COURSE	COURSE	WORD	
LEXENTRY:	COURT	COURT	TYPE,WORD	
LEXENTRY:	COURT HOUSE	COURTHOUSE	BUILDT	
LEXENTRY:	COURT HSE	COURTHOUSE	BUILDT	
LEXENTRY:	COURT YARD	COURTYARD	BUILDT	
LEXENTRY:	COURTHOUSE	COURTHOUSE	BUILDT,WORD	
LEXENTRY:	COURTHSE	COURTHOUSE	BUILDT	
LEXENTRY:	COURTS	COURTS	TYPE,BUILDT,WORD	
LEXENTRY:	COURTYARD	COURTYARD	BUILDT	
LEXENTRY:	COURTYARDS	COURTYARD	BUILDT	
LEXENTRY:	COV	COVE	TYPE	
LEXENTRY:	COVE	COVE	TYPE	
LEXENTRY:	CP	CAMP	WORD	
LEXENTRY:	CPE	CAPE	WORD	
LEXENTRY:	CPLX	COMPLEX	BUILDT	
LEXENTRY:	CPO	POST OFFICE BOX	BOXH	
LEXENTRY:	CPO BOX	POST OFFICE BOX	BOXH	
LEXENTRY:	CR	COUNTY ROAD	ROAD	
LEXENTRY:	CR	CRESCENT	TYPE	
LEXENTRY:	CRCL	CIRCLE	TYPE	
LEXENTRY:	CRCLE	CIRCLE	TYPE	
LEXENTRY:	CRDS	CROSSROADS	BUILDT	
LEXENTRY:	CREEK	CREEK	WORD	
LEXENTRY:	CRES	CRESCENT	TYPE	
LEXENTRY:	CRESCENT	CRESCENT	TYPE,WORD	
LEXENTRY:	CRESENT	CRESCENT	TYPE	
LEXENTRY:	CRK	CREEK	WORD,TYPE	
LEXENTRY:	CRNR	CORNER	BUILDT,TYPE	
LEXENTRY:	CRNRS	CORNERS	TYPE	
LEXENTRY:	CROISSANT	CROISSANT	TYPE,WORD	
LEXENTRY:	CROSS	CROSS	TYPE,BUILDT	
LEXENTRY:	CROSS ROAD	CROSSROAD	BUILDT	
LEXENTRY:	CROSS ROADS	CROSSROADS	BUILDT	
LEXENTRY:	CROSSING	CROSSING	TYPE,BUILDT	
LEXENTRY:	CROSSINGS	CROSSING	BUILDT	
LEXENTRY:	CROSSROAD	CROSSROAD	TYPE,WORD	
LEXENTRY:	CROSSROADS	CROSSROADS	BUILDT	
LEXENTRY:	CROTON ON HUDSON	CROTON ON HUDSON	CITY	
LEXENTRY:	CRSCNT	CRESCENT	TYPE	
LEXENTRY:	CRSE	COURSE	WORD	
LEXENTRY:	CRSENT	CRESCENT	TYPE	
LEXENTRY:	CRSG	CROSSING	TYPE,BUILDT	
LEXENTRY:	CRSGS	CROSSING	BUILDT	
LEXENTRY:	CRSNT	CRESCENT	TYPE	
LEXENTRY:	CRSSNG	CROSSING	TYPE,BUILDT	
LEXENTRY:	CRST	CRESCENT	TYPE	
LEXENTRY:	CRT	COURT	TYPE	
LEXENTRY:	CRT HSE	COURTHOUSE	BUILDT	
LEXENTRY:	CRTHSE	COURTHOUSE	BUILDT	
LEXENTRY:	CRU	CRUCE	TYPE	
LEXENTRY:	CRUC	CRUCE	TYPE	
LEXENTRY:	CRUCE	CRUCE	TYPE	
LEXENTRY:	CRV	CURVE	TYPE	
LEXENTRY:	CS	CLOSE	TYPE	
LEXENTRY:	CSWY	CAUSEWAY	TYPE	
LEXENTRY:	CT	CONNECTICUT	PROV,PROV,WORD,ROAD	
LEXENTRY:	CT	COURT	TYPE	
LEXENTRY:	CT HSE	COURTHOUSE	BUILDT	
LEXENTRY:	CT YARD	COURTYARD	BUILDT	
LEXENTRY:	CT YD	COURTYARD	BUILDT	
LEXENTRY:	CTER	CENTER	BUILDT,TYPE	
LEXENTRY:	CTHS	COURTHOUSE	BUILDT	
LEXENTRY:	CTHSE	COURTHOUSE	BUILDT	
LEXENTRY:	CTR	CENTER	BUILDT,TYPE	
LEXENTRY:	CTRO	CENTER	BUILDT	
LEXENTRY:	CTS	COURTS	TYPE,BUILDT,WORD	
LEXENTRY:	CTY HIGHWAY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	CTY HIWAY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	CTY HWY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	CTY RD	COUNTY ROAD	ROAD,TYPE	
LEXENTRY:	CTY ROAD	COUNTY ROAD	ROAD,TYPE	
LEXENTRY:	CTY ROUTE	COUNTY ROUTE	ROAD	
LEXENTRY:	CTY RT	COUNTY ROUTE	ROAD	
LEXENTRY:	CTY RTE	COUNTY ROUTE	ROAD	
LEXENTRY:	CTYD	COURTYARD	BUILDT	
LEXENTRY:	CU	COUR	TYPE	
LEXENTRY:	CUL DE SAC	CUL DE SAC	TYPE	
LEXENTRY:	CULDESAC	CUL DE SAC	TYPE	
LEXENTRY:	CURRY RD	CURRY ROAD	ROAD	
LEXENTRY:	CURRY ROAD	CURRY ROAD	ROAD	
LEXENTRY:	CURV	CURVE	WORD,TYPE	
LEXENTRY:	CURVE	CURVE	WORD,TYPE	
LEXENTRY:	CUSHING	HARVEY L CUSHING	WORD	
LEXENTRY:	CV	COVE	TYPE	
LEXENTRY:	CX	CHASE	TYPE	
LEXENTRY:	CYN	CANYON	WORD	
LEXENTRY:	CZ	CORNERS	TYPE	
LEXENTRY:	D	D	SINGLE,STOPWORD	
LEXENTRY:	D B A	DBA	WORD	
LEXENTRY:	D HANIS	D HANIS	CITY	
LEXENTRY:	D OR	D OR	WORD	
LEXENTRY:	D'HANIS	D HANIS	CITY	
LEXENTRY:	DALE	DALE	WORD,TYPE	
LEXENTRY:	DAM	DAM	WORD	
LEXENTRY:	DBA	DBA	WORD	
LEXENTRY:	DC	DISTRICT OF COLUMBIA	PROV,WORD,ROAD	
LEXENTRY:	DE	DE	STOPWORD,ROAD	
LEXENTRY:	DE	DELAWARE	PROV,WORD	
LEXENTRY:	DE BEQUE	DE BEQUE	CITY	
LEXENTRY:	DE BERRY	DE BERRY	CITY	
LEXENTRY:	DE FOREST	DE FOREST	CITY	
LEXENTRY:	DE GRAFF	DE GRAFF	CITY	
LEXENTRY:	DE KALB	DE KALB	CITY	
LEXENTRY:	DE KALB JUNCTION	DE KALB JUNCTION	CITY	
LEXENTRY:	DE LA	DE LA	STOPWORD	
LEXENTRY:	DE LAND	DE LAND	CITY	
LEXENTRY:	DE LAS	DE LAS	STOPWORD	
LEXENTRY:	DE LEON	DE LEON	CITY	
LEXENTRY:	DE LEON SPRINGS	DE LEON SPRINGS	CITY	
LEXENTRY:	DE LOS	DE LOS	STOPWORD	
LEXENTRY:	DE MOSSVILLE	DE MOSSVILLE	CITY	
LEXENTRY:	DE PERE	DE PERE	CITY	
LEXENTRY:	DE PEYSTER	DE PEYSTER	CITY	
LEXENTRY:	DE QUEEN	DE QUEEN	CITY	
LEXENTRY:	DE RUYTER	DE RUYTER	CITY	
LEXENTRY:	DE SMET	DE SMET	CITY	
LEXENTRY:	DE SOTO	DE SOTO	CITY	
LEXENTRY:	DE TOUR VILLAGE	DE TOUR VILLAGE	CITY	
LEXENTRY:	DE VALLS BLUFF	DE VALLS BLUFF	CITY	
LEXENTRY:	DE WITT	DE WITT	CITY	
LEXENTRY:	DE YOUNG	DE YOUNG	CITY	
LEXENTRY:	DEL	DE	STOPWORD	
LEXENTRY:	DEL	DELAWARE	PROV,WORD,ROAD	
LEXENTRY:	DELAWARE	DELAWARE	PROV,WORD	
LEXENTRY:	DELL	DELL	WORD,TYPE	
LEXENTRY:	DEPARTMENT	DEPARTMENT	UNITH,WORD	
LEXENTRY:	DEPT	DEPARTMENT	UNITH,WORD	
LEXENTRY:	DERE	DERECHO	UNITH	
LEXENTRY:	DERECHO	DERECHO	UNITH	
LEXENTRY:	DES	DES	STOPWORD	
LEXENTRY:	DEUX	2	WORD,NUMBER	
LEXENTRY:	DEUXIEME	DEUXIEME	WORD	
LEXENTRY:	DI	DI	STOPWORD	
LEXENTRY:	DI	DIVERSION	TYPE,WORD	
LEXENTRY:	DISTRICT OF COLUMBIA	DISTRICT OF COLUMBIA	PROV,WORD	
LEXENTRY:	DIV	DIVIDE	WORD	
LEXENTRY:	DIVERS	DIVERSION	TYPE,WORD	
LEXENTRY:	DIVERSION	DIVERSION	TYPE,WORD	
LEXENTRY:	DIVIDE	DIVIDE	WORD	
LEXENTRY:	DL	DALE	WORD	
LEXENTRY:	DL	DELL	TYPE	
LEXENTRY:	DM	DAM	WORD	
LEXENTRY:	DNS	DOWNS	TYPE,WORD	
LEXENTRY:	DO	DOWNS	TYPE	
LEXENTRY:	DORM	DORMITORY	BUILDT	
LEXENTRY:	DORMITORY	DORMITORY	BUILDT	
LEXENTRY:	DOWN	DOWN	UNITT,WORD	
LEXENTRY:	DOWNS	DOWNS	TYPE,WORD	
LEXENTRY:	DOWNSTAIRS	DOWNSTAIRS	UNITT	
LEXENTRY:	DR	DOCTOR	WORD	
LEXENTRY:	DR	DRIVE	TYPE	
LEXENTRY:	DRAW	DRAW	WORD,TYPE	
LEXENTRY:	DRAWER	POST OFFICE BOX	BOXH	
LEXENTRY:	DRI	DRIVE	TYPE	
LEXENTRY:	DRIVE	DRIVE	TYPE	
LEXENTRY:	DRIVEWAY	DRIVEWAY	TYPE	
LEXENTRY:	DRV	DRIVE	TYPE	
LEXENTRY:	DRWY	DRIVEWAY	TYPE	
LEXENTRY:	DU	DU	STOPWORD	
LEXENTRY:	DU BOIS	DU BOIS	CITY	
LEXENTRY:	DU PONT	DU PONT	CITY	
LEXENTRY:	DU QUOIN	DU QUOIN	CITY	
LEXENTRY:	DV	DIVIDE	WORD	
LEXENTRY:	E	E	SINGLE	
LEXENTRY:	E	EAST	DIRECT	
LEXENTRY:	E MC KEESPORT	EAST MC KEESPORT	CITY	
LEXENTRY:	E MCKEESPORT	EAST MC KEESPORT	CITY	
LEXENTRY:	EAST	EAST	DIRECT	
LEXENTRY:	EAST & WEST	EAST & WEST	WORD	
LEXENTRY:	EAST MC KEESPORT	EAST MC KEESPORT	CITY	
LEXENTRY:	EAST MCKEESPORT	EAST MC KEESPORT	CITY	
LEXENTRY:	EAST WEST	EAST WEST	WORD	
LEXENTRY:	EASTBOUND	EASTBOUND	WORD,QUALIF	
LEXENTRY:	ECH	ECHANGEUR	TYPE	
LEXENTRY:	ECHANGEUR	ECHANGEUR	TYPE	
LEXENTRY:	ECHO	ECHO	TYPE,WORD	
LEXENTRY:	EDF	EDIFICIO	BUILDT	
LEXENTRY:	EDIF	EDIFICIO	BUILDT	
LEXENTRY:	EDIFICIO	EDIFICIO	BUILDT	
LEXENTRY:	EIGHT	8	WORD,NUMBER	
LEXENTRY:	EIGHT MILE	EIGHT MILE	WORD	
LEXENTRY:	EIGHTEEEN MILE	EIGHTEEEN MILE	WORD	
LEXENTRY:	EIGHTEEN	18	NUMBER,WORD	
LEXENTRY:	EIGHTEENTH	18	WORD,ORD	
LEXENTRY:	EIGHTH	8	WORD,ORD	
LEXENTRY:	EIGHTIETH	80	WORD,ORD	
LEXENTRY:	EIGHTY	80	NUMBER,WORD	
LEXENTRY:	EIGHTY EIGHT	88	NUMBER,WORD	
LEXENTRY:	EIGHTY EIGHTH	88	WORD,ORD	
LEXENTRY:	EIGHTY FIFTH	85	WORD,ORD	
LEXENTRY:	EIGHTY FIRST	81	WORD,ORD	
LEXENTRY:	EIGHTY FIVE	85	NUMBER,WORD	
LEXENTRY:	EIGHTY FOUR	84	NUMBER,WORD	
LEXENTRY:	EIGHTY FOURTH	84	WORD,ORD	
LEXENTRY:	EIGHTY NINE	89	NUMBER,WORD	
LEXENTRY:	EIGHTY NINTH	89	WORD,ORD	
LEXENTRY:	EIGHTY ONE	81	NUMBER,WORD	
LEXENTRY:	EIGHTY SECOND	82	WORD,ORD	
LEXENTRY:	EIGHTY SEVEN	87	NUMBER,WORD	
LEXENTRY:	EIGHTY SEVENTH	87	WORD,ORD	
LEXENTRY:	EIGHTY SIX	86	NUMBER,WORD	
LEXENTRY:	EIGHTY SIXTH	86	WORD,ORD	
LEXENTRY:	EIGHTY THIRD	83	WORD,ORD	
LEXENTRY:	EIGHTY THREE	83	NUMBER,WORD	
LEXENTRY:	EIGHTY TWO	82	NUMBER,WORD	
LEXENTRY:	EL	EL	STOPWORD	
LEXENTRY:	EL CAJON	EL CAJON	CITY	
LEXENTRY:	EL CAMINO	CAMINO	TYPE	
LEXENTRY:	EL CAMPO	EL CAMPO	CITY	
LEXENTRY:	EL CENTRO	EL CENTRO	CITY	
LEXENTRY:	EL CERRITO	EL CERRITO	CITY	
LEXENTRY:	EL DORADO	EL DORADO	CITY	
LEXENTRY:	EL DORADO HILLS	EL DORADO HILLS	CITY	
LEXENTRY:	EL DORADO SPRINGS	EL DORADO SPRINGS	CITY	
LEXENTRY:	EL MIRAGE	EL MIRAGE	CITY	
LEXENTRY:	EL MONTE	EL MONTE	CITY	
LEXENTRY:	EL NIDO	EL NIDO	CITY	
LEXENTRY:	EL PASO	EL PASO	CITY,WORD	
LEXENTRY:	EL PRADO	EL PRADO	CITY	
LEXENTRY:	EL RENO	EL RENO	CITY	
LEXENTRY:	EL RITO	EL RITO	CITY	
LEXENTRY:	EL SEGUNDO	EL SEGUNDO	CITY	
LEXENTRY:	EL SOBRANTE	EL SOBRANTE	CITY	
LEXENTRY:	ELEVEN	11	NUMBER,WORD	
LEXENTRY:	ELEVEN MILE	ELEVEN MILE	WORD	
LEXENTRY:	ELEVENTH	11	WORD,ORD	
LEXENTRY:	EMS	EMS	ROAD	
LEXENTRY:	EN	END	TYPE	
LEXENTRY:	END	END	WORD,TYPE	
LEXENTRY:	ENT	ENTRY	UNITT,TYPE	
LEXENTRY:	ENTREE	ENTREE	UNITT,WORD	
LEXENTRY:	ENTRY	ENTRY	UNITT,WORD	
LEXENTRY:	ES	ESPLANADE	TYPE	
LEXENTRY:	ESP	ESPLANADE	BUILDT	
LEXENTRY:	ESPL	ESPLANADE	BUILDT,TYPE,WORD	
LEXENTRY:	ESPLANADE	ESPLANADE	BUILDT,WORD,TYPE	
LEXENTRY:	EST	EST	DIRECT	
LEXENTRY:	EST	ESTATES	WORD,BUILDT,TYPE	
LEXENTRY:	ESTATE	ESTATES	WORD,BUILDT,TYPE	
LEXENTRY:	ESTATES	ESTATES	WORD,BUILDT,TYPE	
LEXENTRY:	ESTE	ESTE	DIRECT,WORD	
LEXENTRY:	ESTS	ESTATES	WORD,BUILDT,TYPE	
LEXENTRY:	ET	ESTATES	TYPE	
LEXENTRY:	ET	ET	STOPWORD	
LEXENTRY:	ET	ETAGE	UNITT	
LEXENTRY:	ETAGE	ETAGE	WORD,UNITT	
LEXENTRY:	EX	EXTENDED	QUALIF	
LEXENTRY:	EX	EXTENSION	TYPE	
LEXENTRY:	EXCH	EXCHANGE	BUILDT,TYPE	
LEXENTRY:	EXCHANGE	EXCHANGE	BUILDT,TYPE,WORD	
LEXENTRY:	EXEC	EXECUTIVE	WORD	
LEXENTRY:	EXECUTIVE	EXECUTIVE	WORD	
LEXENTRY:	EXP	EXPRESSWAY	TYPE	
LEXENTRY:	EXPR	EXPRESSWAY	TYPE	
LEXENTRY:	EXPRESO	EXPRESO	TYPE	
LEXENTRY:	EXPRESS	EXPRESSWAY	TYPE	
LEXENTRY:	EXPRESSWAY	EXPRESSWAY	TYPE	
LEXENTRY:	EXPW	EXPRESSWAY	TYPE	
LEXENTRY:	EXPWAY	EXPRESSWAY	TYPE	
LEXENTRY:	EXPWY	EXPRESSWAY	TYPE	
LEXENTRY:	EXPY	EXPRESSWAY	TYPE	
LEXENTRY:	EXT	EXTENSION	QUALIF,TYPE	
LEXENTRY:	EXTD	EXTENDED	QUALIF	
LEXENTRY:	EXTEN	EXTENSION	QUALIF,TYPE	
LEXENTRY:	EXTENDED	EXTENDED	QUALIF	
LEXENTRY:	EXTENSION	EXTENSION	QUALIF,TYPE	
LEXENTRY:	EXTN	EXTENSION	QUALIF,TYPE	
LEXENTRY:	EXTSN	EXTENSION	QUALIF,TYPE	
LEXENTRY:	EXWY	EXPRESSWAY	TYPE	
LEXENTRY:	F M	FARM TO MARKET ROAD	ROAD	
LEXENTRY:	F M RD	FARM TO MARKET ROAD	ROAD,TYPE	
LEXENTRY:	F M ROAD	FARM TO MARKET ROAD	ROAD,TYPE	
LEXENTRY:	FACTORY OUTLET	OUTLET	BUILDT	
LEXENTRY:	FALL	FALL	WORD	
LEXENTRY:	FALLS	FALLS	WORD	
LEXENTRY:	FALLS OF ROUGH	FALLS OF ROUGH	CITY	
LEXENTRY:	FARM	FARM	WORD,TYPE	
LEXENTRY:	FARM MAINTENANCE RD	FARM MAINTENANCE ROAD	ROAD,TYPE	
LEXENTRY:	FARM MARKET ROAD	FARM TO MARKET ROAD	ROAD,TYPE	
LEXENTRY:	FARM TO MARKET ROAD	FARM TO MARKET ROAD	ROAD,TYPE	
LEXENTRY:	FERRY	FERRY	WORD	
LEXENTRY:	FERRY CROSSING	FERRY	WORD	
LEXENTRY:	FEST	FESTIVAL	BUILDT	
LEXENTRY:	FESTIVAL	FESTIVAL	BUILDT	
LEXENTRY:	FIELD	FIELD	WORD,TYPE	
LEXENTRY:	FIELDS	FIELDS	WORD	
LEXENTRY:	FIFTEEN	15	NUMBER,WORD	
LEXENTRY:	FIFTEEN MILE	FIFTEEN MI	WORD	
LEXENTRY:	FIFTEENTH	15	WORD,ORD	
LEXENTRY:	FIFTH	5	WORD,ORD	
LEXENTRY:	FIFTIETH	50	WORD,ORD	
LEXENTRY:	FIFTY	50	NUMBER,WORD	
LEXENTRY:	FIFTY EIGHT	58	NUMBER,WORD	
LEXENTRY:	FIFTY EIGHTH	58	WORD,ORD	
LEXENTRY:	FIFTY FIFTH	55	WORD,ORD	
LEXENTRY:	FIFTY FIRST	51	WORD,ORD	
LEXENTRY:	FIFTY FIVE	55	NUMBER,WORD	
LEXENTRY:	FIFTY FOUR	54	NUMBER,WORD	
LEXENTRY:	FIFTY FOURTH	54	WORD,ORD	
LEXENTRY:	FIFTY NINE	59	NUMBER,WORD	
LEXENTRY:	FIFTY NINTH	59	WORD,ORD	
LEXENTRY:	FIFTY ONE	51	NUMBER,WORD	
LEXENTRY:	FIFTY SECOND	52	WORD,ORD	
LEXENTRY:	FIFTY SEVEN	57	NUMBER,WORD	
LEXENTRY:	FIFTY SEVENTH	57	WORD,ORD	
LEXENTRY:	FIFTY SIX	56	NUMBER,WORD	
LEXENTRY:	FIFTY SIXTH	56	WORD,ORD	
LEXENTRY:	FIFTY THIRD	53	WORD,ORD	
LEXENTRY:	FIFTY THREE	53	NUMBER,WORD	
LEXENTRY:	FIFTY TWO	52	NUMBER,WORD	
LEXENTRY:	FIRST	1	WORD,ORD	
LEXENTRY:	FITCHBURG STATE	FITCHBURG STATE	WORD	
LEXENTRY:	FIVE	5	NUMBER,WORD	
LEXENTRY:	FIVE CEDARS	FIVE CEDARS	WORD	
LEXENTRY:	FIVE CORNERS	FIVE CORNERS	WORD	
LEXENTRY:	FIVE MILE	FIVE MILE	WORD	
LEXENTRY:	FIVE POINTS	FIVE POINTS	WORD	
LEXENTRY:	FIVE TOWN	FIVE TOWN	WORD	
LEXENTRY:	FL	FLOOR	UNITT	
LEXENTRY:	FL	FLORIDA	PROV,WORD,ROAD	
LEXENTRY:	FLA	FLORIDA	PROV,WORD,ROAD	
LEXENTRY:	FLAT	FLAT	WORD	
LEXENTRY:	FLD	FIELD	WORD	
LEXENTRY:	FLDS	FIELDS	WORD	
LEXENTRY:	FLLS	FALLS	WORD	
LEXENTRY:	FLOOR	FLOOR	UNITT,WORD	
LEXENTRY:	FLORIDA	FLORIDA	PROV,WORD	
LEXENTRY:	FLR	FLOOR	UNITT	
LEXENTRY:	FLS	FALLS	WORD	
LEXENTRY:	FLT	FLAT	WORD	
LEXENTRY:	FLTS	FLATS	WORD	
LEXENTRY:	FM	FARM TO MARKET ROAD	ROAD	
LEXENTRY:	FM RD	FARM TO MARKET ROAD	ROAD,TYPE	
LEXENTRY:	FM ROAD	FARM TO MARKET ROAD	ROAD,TYPE	
LEXENTRY:	FMRD	FARM TO MARKET ROAD	ROAD,TYPE	
LEXENTRY:	FOND DU LAC	FOND DU LAC	CITY	
LEXENTRY:	FORD	FORD	WORD	
LEXENTRY:	FOREST	FOREST	WORD	
LEXENTRY:	FORGE	FORGE	WORD	
LEXENTRY:	FORK	FORK	WORD	
LEXENTRY:	FORKS	FORKS	WORD	
LEXENTRY:	FORKS OF SALMON	FORKS OF SALMON	CITY	
LEXENTRY:	FORT	FORT	WORD	
LEXENTRY:	FORT GEORGE G MEADE	FORT GEORGE G MEADE	CITY	
LEXENTRY:	FORT GEORGE MEADE	FORT GEORGE G MEADE	CITY	
LEXENTRY:	FORT MC COY	FORT MC COY	CITY	
LEXENTRY:	FORT MC KAVETT	FORT MC KAVETT	CITY	
LEXENTRY:	FORT MCCOY	FORT MC COY	CITY	
LEXENTRY:	FORT MCKAVETT	FORT MC KAVETT	CITY	
LEXENTRY:	FORT MEADE	FORT GEORGE G MEADE	CITY	
LEXENTRY:	FORT MITCHELL	FORT MITCHELL	CITY	
LEXENTRY:	FORT MYER	FORT MYER	CITY	
LEXENTRY:	FORT WARREN AFB	FORT WARREN AFB	CITY	
LEXENTRY:	FORTIETH	40	WORD,ORD	
LEXENTRY:	FORTS	FORT	WORD	
LEXENTRY:	FORTY	40	NUMBER,WORD	
LEXENTRY:	FORTY EIGHT	48	NUMBER,WORD	
LEXENTRY:	FORTY EIGHTH	48	WORD,ORD	
LEXENTRY:	FORTY FIFTH	45	WORD,ORD	
LEXENTRY:	FORTY FIRST	41	WORD,ORD	
LEXENTRY:	FORTY FIVE	45	NUMBER,WORD	
LEXENTRY:	FORTY FOUR	44	NUMBER,WORD	
LEXENTRY:	FORTY FOURTH	44	WORD,ORD	
LEXENTRY:	FORTY NINE	49	NUMBER,WORD	
LEXENTRY:	FORTY NINTH	49	WORD,ORD	
LEXENTRY:	FORTY ONE	41	NUMBER,WORD	
LEXENTRY:	FORTY SECOND	42	WORD,ORD	
LEXENTRY:	FORTY SEVEN	47	NUMBER,WORD	
LEXENTRY:	FORTY SEVENTH	47	WORD,ORD	
LEXENTRY:	FORTY SIX	46	NUMBER,WORD	
LEXENTRY:	FORTY SIXTH	46	WORD,ORD	
LEXENTRY:	FORTY THIRD	43	WORD,ORD	
LEXENTRY:	FORTY THREE	43	NUMBER,WORD	
LEXENTRY:	FORTY TWO	42	NUMBER,WORD	
LEXENTRY:	FOUR	4	NUMBER,WORD	
LEXENTRY:	FOUR CORNERS	FOUR CORNERS	WORD	
LEXENTRY:	FOUR FLAGS	FOUR FLAGS	WORD	
LEXENTRY:	FOUR MILE	FOUR MILE	WORD	
LEXENTRY:	FOURTEEN	14	NUMBER,WORD	
LEXENTRY:	FOURTEEN MILE	FOURTEEN MILE	WORD	
LEXENTRY:	FOURTEENTH	14	WORD,ORD	
LEXENTRY:	FOURTH	4	WORD,ORD	
LEXENTRY:	FPO	FPO	BOXH	
LEXENTRY:	FRD	FORD	WORD	
LEXENTRY:	FREEWAY	FREEWAY	TYPE	
LEXENTRY:	FREEWY	FREEWAY	TYPE	
LEXENTRY:	FRG	FORGE	WORD	
LEXENTRY:	FRK	FORK	WORD	
LEXENTRY:	FRKS	FORKS	WORD,WORD	
LEXENTRY:	FRNT	FRONT	WORD,UNITT	
LEXENTRY:	FROM	FROM	WORD	
