LEXICON:	pagc-converted	USA	en_US	
LEXENTRY:	9 MILE	NINE MILE	WORD	
LEXENTRY:	91ST	91	WORD,ORD	
LEXENTRY:	93RD	93	WORD,ORD	
LEXENTRY:	9MI	NINE MILE	WORD	
LEXENTRY:	A	A	SINGLE,STOPWORD	
LEXENTRY:	A	ALTERNATE	QUALIF	
LEXENTRY:	A F B	AIR FORCE BASE	WORD,BUILDT,WORD	
LEXENTRY:	A F S	AIR FORCE BASE	WORD,BUILDT	
LEXENTRY:	A LA DERECHA	A LA DERECHA	UNITH	
LEXENTRY:	AB	ABBEY	TYPE	
LEXENTRY:	AB	ALBERTA	PROV,WORD,ROAD	
LEXENTRY:	ABBEY	ABBEY	WORD,TYPE	
LEXENTRY:	AC	ACRES	TYPE	
LEXENTRY:	ACAD	ACADEMY	WORD	
LEXENTRY:	ACADE	ACADEMIA	WORD	
LEXENTRY:	ACADEMIA	ACADEMIA	WORD	
LEXENTRY:	ACADEMY	ACADEMY	WORD	
LEXENTRY:	ACCESS	ACCESS	TYPE	
LEXENTRY:	ACR	ACRES	WORD,TYPE,BUILDT	
LEXENTRY:	ACRES	ACRES	WORD,TYPE,BUILDT	
LEXENTRY:	ACRS	ACRES	WORD,TYPE,BUILDT	
LEXENTRY:	ACUE	ACUEDUCTO	WORD	
LEXENTRY:	ACUED	ACUEDUCTO	WORD	
LEXENTRY:	ACUEDUCTO	ACUEDUCTO	WORD	
LEXENTRY:	AEROPUERTO	AEROPUERTO	WORD,BUILDT	
LEXENTRY:	AFB	AIR FORCE BASE	WORD,BUILDT,WORD	
LEXENTRY:	AFLD	AIRPORT	BUILDT	
LEXENTRY:	AFS	AIR FORCE BASE	WORD,BUILDT	
LEXENTRY:	AIR FORCE BASE	AIR FORCE BASE	WORD,BUILDT,WORD	
LEXENTRY:	AIR FORCE STATION	AIR FORCE BASE	WORD,BUILDT	
LEXENTRY:	AIRFIELD	AIRPORT	WORD,BUILDT	
LEXENTRY:	AIRPARK	AIRPORT	WORD,BUILDT	
LEXENTRY:	AIRPORT	AIRPORT	WORD,BUILDT	
LEXENTRY:	AIRSTRIP	AIRPORT	WORD,BUILDT	
LEXENTRY:	AIRSTRP	AIRPORT	WORD,BUILDT	
LEXENTRY:	AK	ALASKA	PROV,WORD,ROAD	
LEXENTRY:	AL	ALABAMA	PROV,WORD,ROAD	
LEXENTRY:	AL	ALLEY	TYPE,PROV,ROAD	
LEXENTRY:	ALA	ALABAMA	PROV,WORD,ROAD	
LEXENTRY:	ALABAMA	ALABAMA	PROV,WORD	
LEXENTRY:	ALASKA	ALASKA	PROV,WORD	
LEXENTRY:	ALBERTA	ALBERTA	PROV,WORD	
LEXENTRY:	ALC	ALCOVE	TYPE	
LEXENTRY:	ALD	A LA DERECHA	UNITH	
LEXENTRY:	ALLEE	ALLEE	TYPE	
LEXENTRY:	ALLEY	ALLEY	TYPE,WORD	
LEXENTRY:	ALLY	ALLEY	TYPE	
LEXENTRY:	ALT	ALTERNATE	QUALIF	
LEXENTRY:	ALTERNATE	ALTERNATE	QUALIF	
LEXENTRY:	ALTO	ALTO	WORD	
LEXENTRY:	ALTO	ALTOS	UNITH	
LEXENTRY:	ALTOS	ALTOS	UNITH,WORD	
LEXENTRY:	ALY	ALLEY	TYPE	
LEXENTRY:	AND	AND	AMPERS,WORD	
LEXENTRY:	ANEX	ANNEX	WORD,BUILDT	
LEXENTRY:	ANNEX	ANNEX	WORD,BUILDT	
LEXENTRY:	ANNX	ANNEX	WORD,BUILDT	
LEXENTRY:	ANX	ANNEX	WORD,BUILDT	
LEXENTRY:	AP	APARTMENT	UNITH	
LEXENTRY:	APART	APARTMENT	UNITH	
LEXENTRY:	APARTADO	BOX	BOXH	
LEXENTRY:	APARTEMENT	APARTEMENT	UNITH	
LEXENTRY:	APARTMENT	APARTMENT	UNITH	
LEXENTRY:	APARTMENTS	APARTMENTS	BUILDT	
LEXENTRY:	APO	APO	BOXH	
LEXENTRY:	APP	APARTEMENT	UNITH	
LEXENTRY:	APPART	APARTEMENT	UNITH	
LEXENTRY:	APPT	APARTEMENT	UNITH	
LEXENTRY:	APRK	AIRPORT	BUILDT	
LEXENTRY:	APS	APARTMENTS	BUILDT	
LEXENTRY:	APT	APARTMENT	UNITH	
LEXENTRY:	APT NO	APARTMENT	UNITH	
LEXENTRY:	APTMT	APARTMENT	UNITH	
LEXENTRY:	APTS	APARTMENTS	BUILDT	
LEXENTRY:	AR	ARKANSAS	PROV,WORD,ROAD	
LEXENTRY:	AR	ARRIERE	UNITT	
LEXENTRY:	ARC	ARCADE	TYPE,BUILDT	
LEXENTRY:	ARCADE	ARCADE	TYPE,BUILDT	
LEXENTRY:	ARIZ	ARIZONA	PROV,WORD,ROAD	
LEXENTRY:	ARIZONA	ARIZONA	PROV,WORD	
LEXENTRY:	ARK	ARKANSAS	PROV,WORD,ROAD	
LEXENTRY:	ARKANSAS	ARKANSAS	PROV,WORD	
LEXENTRY:	ARPT	AIRPORT	WORD,BUILDT	
LEXENTRY:	ARPTO	AIRPORT	WORD,BUILDT	
LEXENTRY:	ARRIERE	ARRIERE	UNITT	
LEXENTRY:	ARROYO	ARROYO	TYPE	
LEXENTRY:	ARRYO	ARROYO	TYPE	
LEXENTRY:	AT	AT	STOPWORD	
LEXENTRY:	ATPS	AUTOPISTA	TYPE	
LEXENTRY:	ATPTA	AUTOPISTA	TYPE	
LEXENTRY:	ATTN	ATTENTION	WORD	
LEXENTRY:	AU	AU	STOPWORD	
LEXENTRY:	AU	AUTOROUTE	TYPE	
LEXENTRY:	AU GRES	AU GRES	CITY	
LEXENTRY:	AU SABLE FORKS	AU SABLE FORKS	CITY	
LEXENTRY:	AU SABLE FRKS	AU SABLE FORKS	CITY	
LEXENTRY:	AU TRAIN	AU TRAIN	CITY	
LEXENTRY:	AUT	AUTOROUTE	TYPE	
LEXENTRY:	AUTO	AUTO	WORD	
LEXENTRY:	AUTO	AUTOPISTA	TYPE	
LEXENTRY:	AUTOPISTA	AUTOPISTA	TYPE	
LEXENTRY:	AUTOROUTE	AUTOROUTE	TYPE	
LEXENTRY:	AV	AVANT	UNITT	
LEXENTRY:	AV	AVENUE	TYPE	
LEXENTRY:	AVA	AVENIDA	TYPE	
LEXENTRY:	AVANT	AVANT	UNITT,WORD	
LEXENTRY:	AVE	AVENUE	TYPE	
LEXENTRY:	AVEN	AVENUE	TYPE	
